1 983.53
2 1087.16
3 2090.77
4 1479.30
5 983.49
6 1048.16
7 1065.92
8 855.28
9 834.89
10 1496.24
11 849.22
12 861.53
13 981.32
14 953.97
15 987.22
16 1024.97
17 930.88
18 714.88
19 915.03
20 1675.47
21 933.21
22 1006.93
23 945.51
24 1006.32
25 995.13
26 1072.30
27 1002.51
28 1162.17
29 735.29
30 954.15
31 1059.86
32 1041.82
33 1031.53
34 998.98
35 1747.41
36 1037.48
37 980.89
38 921.60
39 913.05
40 1060.93
41 1014.21
42 998.75
43 1060.20
44 960.72
45 1398.18
46 978.81
47 738.53
48 945.01
49 963.91
50 1040.19
